ID,casrn,dtxsid,name,countgen,PODgen,PODgen GSD2total,PODgen GSD2final,Prob. RfDgen [mg/kg-d],HDM10%gen [mg/kg-d],HDM10%gen GSD2,countrd,PODrd,PODrd GSD2total,PODrd GSD2final,Prob. RfDrd [mg/kg-d],HDM10%rd [mg/kg-d],HDM10%rd GSD2
3613,38517-37-2,NODTXSID_38517-37-2,sodium hydrogen (2S)-2-tetradecanamidopentanedioate,1,2.29E+02,17.22,17.22,1.50E-01,6.57E+01,20.29,,,,,,,
3614,3851-87-4,DTXSID60863279,"Peroxide, bis(3,5,5-trimethyl-1-oxohexyl)",6,3.77E+01,4.86,7.97,1.37E-01,1.08E+01,9.93,2,7.73E+01,6.43,11.77,6.56E-02,2.22E+01,14.20
3615,3855-32-1,DTXSID1044564,"2,6,10-Trimethyl-2,6,10-triazaundecane",,,,,,,,5,1.84E+01,3.91,11.77,5.21E-02,5.29E+00,14.20
3616,38632-47-2,NODTXSID_38632-47-2,unnamed [38632-47-2],1,5.31E+01,17.22,17.22,3.47E-02,1.52E+01,20.29,3,4.15E+01,4.77,11.77,3.52E-02,1.19E+01,14.20
3617,38640-62-9,DTXSID9041869,Diisopropylnaphthalene,7,2.23E+01,4.13,7.97,8.10E-02,6.38E+00,9.93,3,4.47E+01,5.10,11.77,3.79E-02,1.28E+01,14.20
3618,38641-94-0,DTXSID0034649,Glyphosate isopropylamine,10,6.30E+00,2.92,7.97,6.88E-02,1.81E+00,9.93,,,,,,,
3619,3865-34-7,DTXSID60893536,Dimethyl{bis[(9Z)-9-octadecenoyloxy]}stannane,2,1.91E-01,9.22,9.22,1.90E-04,5.48E-02,11.33,3,1.79E+00,5.38,11.77,1.52E-03,5.12E-01,14.20
3620,38668-48-3,DTXSID10865920,"2-Propanol, 1,1'-[(4-methylphenyl)imino]bis-",5,4.65E+00,4.68,7.97,1.69E-02,1.33E+00,9.93,10,1.02E+01,2.06,11.77,8.64E-02,2.92E+00,14.20
3621,3871-99-6,DTXSID3037709,Potassium perfluorohexanesulfonate,,,,,,,,2,1.49E+00,6.70,11.77,1.26E-03,4.26E-01,14.20
3622,38720-66-0,DTXSID10959535,"1,2-Dichloro-5,12-dihydroquinolino[2,3-b]acridine-7,14-dione",8,2.34E+02,3.71,7.97,8.50E-01,6.70E+01,9.93,,,,,,,
3623,3876-52-6,DTXSID60192036,"2,4-Dimethyl-2-pentenoic acid, (2E)-",1,2.87E-01,17.22,17.22,1.87E-04,8.22E-02,20.29,,,,,,,
3624,3878-19-1,DTXSID4041995,Fuberidazole,1,9.38E-01,17.22,17.22,6.13E-04,2.69E-01,20.29,1,2.06E+00,13.94,13.94,1.56E-03,5.91E-01,16.63
3625,38820-59-6,DTXSID801012189,"Phosphonic acid, P,P'-[1,6-hexanediylbis[nitrilobis(methylene)]]tetrakis-, potassium salt (1:?)",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
3626,38837-70-6,NODTXSID_38837-70-6,L-Glutamic acid,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
3627,388606-32-4,DTXSID40473572,"3-[(2,2-Dimethyl-1,2-azasilolidin-1-yl)(dimethyl)silyl]propan-1-amine",1,3.82E-01,17.22,17.22,2.50E-04,1.10E-01,20.29,,,,,,,
3628,38888-98-1,DTXSID501014512,Diphenylethane,5,2.66E+00,4.70,7.97,9.69E-03,7.63E-01,9.93,13,3.12E+01,2.11,11.77,2.65E-01,8.95E+00,14.20
3629,38900-29-7,DTXSID1029758,"Nonanedioic acid, dilithium salt",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
3630,3891-59-6,DTXSID70878056,"D-GLUCOSE, 2,3,4,5,6-PENTAACETATE",1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,,,,,,,
3631,3891-98-3,DTXSID1058634,"2,6,10-Trimethyldodecane",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,2,2.58E+02,6.21,11.77,2.19E-01,7.39E+01,14.20
3632,3896-11-5,DTXSID9036438,Bumetrizole,16,5.23E+01,2.00,7.97,5.71E-01,1.50E+01,9.93,11,4.90E+02,2.14,11.77,4.16E+00,1.40E+02,14.20
3633,3900-45-6,DTXSID60192278,2-Acetyl-6-methoxynaphthalene,8,5.46E+00,3.66,7.97,1.99E-02,1.56E+00,9.93,1,3.22E+01,13.94,13.94,2.44E-02,9.23E+00,16.63
3634,39049-04-2,DTXSID10896936,Zirconium neodecanoate,,,,,,,,3,1.09E+02,5.29,11.77,9.22E-02,3.12E+01,14.20
3635,3905-19-9,DTXSID8052063,Pigment Red 166,6,1.21E+02,4.51,7.97,4.40E-01,3.46E+01,9.93,2,2.58E+02,6.20,11.77,2.19E-01,7.39E+01,14.20
3636,39072-70-3,DTXSID1074622,"Urea, N,N''-1,6-hexanediylbis[N'-(phenylmethyl)-",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,3,2.58E+02,5.39,11.77,2.19E-01,7.39E+01,14.20
3637,3913-02-8,DTXSID0044818,2-Butyloctan-1-ol,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,7,3.71E+02,3.46,11.77,1.05E+00,1.06E+02,14.20
3638,3913-81-3,DTXSID5047035,(2E)-2-Decenal,1,2.00E+00,17.22,17.22,1.31E-03,5.72E-01,20.29,,,,,,,
3639,39148-24-8,DTXSID1020643,Fosetyl-Al,8,1.83E+02,3.33,7.97,6.66E-01,5.25E+01,9.93,2,8.73E+01,6.71,11.77,7.40E-02,2.50E+01,14.20
3640,39186-58-8,DTXSID10192425,"4-Bromo-2,2-diphenylbutanenitrile",,,,,,,,3,8.63E+01,4.80,11.77,7.32E-02,2.47E+01,14.20
3641,3918-73-8,DTXSID001014636,1-(2-Hydroxy-3-sulphonatopropyl)pyridinium,,,,,,,,5,2.58E+02,3.78,11.77,7.29E-01,7.39E+01,14.20
3642,39196-18-4,DTXSID4042468,Thiofanox,2,2.66E-02,6.39,7.97,2.90E-05,7.62E-03,9.93,,,,,,,
3643,39236-46-9,DTXSID2040151,Imidazolidinyl urea,2,7.01E+01,8.29,8.29,7.46E-02,2.01E+01,10.29,3,3.02E+01,4.98,11.77,2.56E-02,8.64E+00,14.20
3644,3923-79-3,DTXSID1044934,"4,5-Dihydroxy-1,3-dimethylimidazolidin-2-one",2,8.60E+02,8.56,8.56,8.97E-01,2.46E+02,10.60,,,,,,,
3645,39255-32-8,DTXSID7047198,Ethyl 2-methylpentanoate,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,2,2.58E+02,6.22,11.77,2.19E-01,7.39E+01,14.20
3646,3926-62-3,DTXSID1027550,Sodium chloroacetate,6,3.15E+00,4.45,7.97,1.15E-02,9.04E-01,9.93,6,6.50E+00,4.12,11.77,1.84E-02,1.86E+00,14.20
3647,39290-78-3,DTXSID2052786,Aluminum chloride hydroxide sulfate,8,6.59E+00,4.40,7.97,2.40E-02,1.89E+00,9.93,19,6.53E+01,1.85,11.77,5.54E-01,1.87E+01,14.20
3648,39290-95-4,NODTXSID_39290-95-4,unnamed [39290-95-4],,,,,,,,2,2.58E+02,7.42,11.77,2.19E-01,7.39E+01,14.20
3649,39300-45-3,DTXSID3040352,Dinocap,6,1.22E+00,3.65,7.97,4.42E-03,3.48E-01,9.93,2,3.09E+00,6.47,11.77,2.62E-03,8.86E-01,14.20
3650,39318-18-8,DTXSID70892257,Tungsten oxide,3,1.47E+01,5.98,7.97,1.60E-02,4.20E+00,9.93,2,2.28E+01,5.84,11.77,1.93E-02,6.53E+00,14.20
3651,39318-30-4,DTXSID20890849,Lithium potassium titanium oxide,1,3.82E+00,17.22,17.22,2.50E-03,1.10E+00,20.29,,,,,,,
3652,39322-78-6,DTXSID8029361,Potassium lauryl phosphate,6,1.10E+02,4.36,7.97,4.00E-01,3.15E+01,9.93,7,1.38E+02,3.43,11.77,3.90E-01,3.95E+01,14.20
3653,3937-56-2,DTXSID5063237,"1,9-Nonanediol",,,,,,,,7,1.60E+02,3.41,11.77,4.53E-01,4.59E+01,14.20
3654,393-85-1,DTXSID60408886,Methyl 5-fluoro-2-nitrobenzoate,1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
3655,39423-51-3,DTXSID80895794,Trimethylolpropane poly(oxypropylene)triamine,,,,,,,,2,2.88E+01,6.53,11.77,2.44E-02,8.26E+00,14.20
3656,39430-51-8,DTXSID6044935,"Chromium acetate, basic",2,4.24E+02,8.79,8.79,4.35E-01,1.21E+02,10.85,,,,,,,
3657,39455-80-6,DTXSID30890855,Ammonium sodium vanadium oxide,4,1.57E-01,5.75,7.97,5.71E-04,4.49E-02,9.93,1,5.80E+00,13.94,13.94,4.39E-03,1.66E+00,16.63
3658,39471-52-8,DTXSID8052069,Octadecyl phosphate,1,1.09E+00,17.22,17.22,7.12E-04,3.12E-01,20.29,,,,,,,
3659,39515-41-8,DTXSID0024002,Fenpropathrin,15,4.17E+00,2.04,7.97,4.55E-02,1.20E+00,9.93,14,2.17E+00,2.00,11.77,1.84E-02,6.23E-01,14.20
3660,39515-51-0,DTXSID3028005,3-Phenoxybenzaldehyde,4,2.70E+01,4.58,7.97,9.83E-02,7.75E+00,9.93,,,,,,,
3661,39537-23-0,DTXSID20192658,Alanylglutamine,2,6.42E+02,9.27,9.27,6.36E-01,1.84E+02,11.39,,,,,,,
3662,39635-79-5,DTXSID0052708,"4,4'-Sulphonylbis[2,6-dibromophenol]",,,,,,,,1,3.65E+01,13.94,13.94,2.76E-02,1.04E+01,16.63
3663,39638-32-9,DTXSID7052070,bis(2-Chloroisopropyl)ether,1,7.70E+00,17.22,17.22,5.03E-03,2.21E+00,20.29,,,,,,,
3664,3965-55-7,DTXSID6027551,"Sodium 3,5-bis(methoxycarbonyl)benzenesulfonate",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,7,2.58E+02,3.57,11.77,7.29E-01,7.39E+01,14.20
3665,39670-09-2,DTXSID70865966,Ethyltriglycol methacrylate,2,1.91E+02,8.06,8.06,2.07E-01,5.48E+01,10.04,5,1.59E+02,3.93,11.77,4.50E-01,4.56E+01,14.20
3666,39711-79-0,DTXSID5047039,N-Ethyl-4-menthane-3-carboxamide,,,,,,,,4,1.05E+02,4.15,11.77,2.98E-01,3.02E+01,14.20
3667,39801-14-4,DTXSID2020896,Photomirex,1,5.85E-01,17.22,17.22,3.83E-04,1.68E-01,20.29,,,,,,,
3668,398141-87-2,DTXSID70109054,"Thiophene, tetrahydro-, 1,1-dioxide, 3-(C9-11-isoalkyloxy) derivs., C10-rich",8,1.44E+01,4.23,7.97,5.24E-02,4.13E+00,9.93,12,9.30E+01,2.07,11.77,7.89E-01,2.67E+01,14.20
3669,3982-91-0,DTXSID3063253,Phosphorothioic trichloride,3,2.06E+00,6.56,7.97,2.25E-03,5.90E-01,9.93,,,,,,,
3670,40027-38-1,DTXSID3068209,"9-Octadecenoic acid (9Z)-, compd. with N-(9Z)-9-octadecenyl-1,3-propanediamine",1,7.65E-02,17.22,17.22,5.00E-05,2.19E-02,20.29,3,5.63E-01,5.07,11.77,4.78E-04,1.61E-01,14.20
3671,400882-07-7,DTXSID8058089,Cyflumetofen,2,4.46E+00,8.53,8.53,4.66E-03,1.28E+00,10.57,,,,,,,
3672,4016-14-2,DTXSID6025480,Isopropyl glycidyl ether,,,,,,,,4,2.58E+01,4.43,11.77,7.29E-02,7.39E+00,14.20
3673,40220-08-4,DTXSID1044936,"(2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethane-2,1-diyl trisprop-2-enoate",,,,,,,,3,2.58E+02,4.52,11.77,2.19E-01,7.39E+01,14.20
3674,402910-27-4,DTXSID0047290,UK-416244,6,1.69E+01,5.27,7.97,6.13E-02,4.83E+00,9.93,,,,,,,
3675,40306-75-0,DTXSID90885424,"Benzenesulfonic acid, 3-(acetylamino)-5-amino-4-hydroxy-",4,3.72E+01,5.82,7.97,1.35E-01,1.07E+01,9.93,3,2.05E+02,4.43,11.77,1.74E-01,5.86E+01,14.20
3676,404362-22-7,DTXSID50109057,"1,3-Benzenedimethanamine, N-(2-phenylethyl) derivs.",2,3.82E-01,13.58,13.58,2.94E-04,1.10E-01,16.23,7,4.95E+00,3.46,11.77,1.40E-02,1.42E+00,14.20
3677,404-86-4,DTXSID9020241,Capsaicin,1,1.12E+03,17.22,17.22,7.35E-01,3.22E+02,20.29,,,,,,,
3678,40487-42-1,DTXSID7024245,Pendimethalin,18,2.07E+01,1.93,7.97,2.25E-01,5.92E+00,9.93,10,2.74E+01,2.27,11.77,2.32E-01,7.85E+00,14.20
3679,405095-33-2,NODTXSID_405095-33-2,unnamed [405095-33-2],2,3.79E+00,8.47,8.47,3.98E-03,1.09E+00,10.49,2,5.16E+01,6.10,11.77,4.37E-02,1.48E+01,14.20
3680,4051-63-2,DTXSID2052079,Pigment Red 177,,,,,,,,5,2.07E+02,3.83,11.77,5.85E-01,5.93E+01,14.20
3681,40530-60-7,DTXSID5068235,"Carbonic acid, 2-[(1-amino-9,10-dihydro-4-hydroxy-9,10-dioxo-2-anthracenyl)oxy]ethyl ethyl ester",,,,,,,,2,2.58E+02,6.63,11.77,2.19E-01,7.39E+01,14.20
3682,40573-09-9,DTXSID60896481,"1,1,2,2,3,3-Hexafluoro-1-[(trifluoroethenyl)oxy]-3-(trifluoromethoxy)propane",,,,,,,,2,2.58E+02,6.27,11.77,2.19E-01,7.39E+01,14.20
3683,40601-76-1,DTXSID8028008,Cyanox CY 1790,6,4.52E+01,4.23,7.97,1.64E-01,1.29E+01,9.93,11,6.10E+01,2.29,11.77,5.18E-01,1.75E+01,14.20
3684,40618-31-3,DTXSID4068242,"2-Naphthalenecarboxamide, N,N'-(2,5-dichloro-1,4-phenylene)bis[4-[(2,5-dichlorophenyl)azo]-3-hydroxy-",4,1.91E+02,5.03,7.97,6.95E-01,5.48E+01,9.93,2,2.58E+02,6.01,11.77,2.19E-01,7.39E+01,14.20
3685,4065-45-6,DTXSID2042436,Sulisobenzone,8,1.46E+01,3.80,7.97,5.31E-02,4.19E+00,9.93,14,1.81E+01,2.19,11.77,1.54E-01,5.19E+00,14.20
3686,4066-02-8,DTXSID6052081,"2,2'-Methanediylbis(6-cyclohexyl-4-methylphenol)",,,,,,,,4,8.15E+01,4.17,11.77,2.30E-01,2.34E+01,14.20
3687,4067-16-7,DTXSID7025843,Pentaethylenehexamine,4,2.12E+01,5.34,7.97,7.72E-02,6.08E+00,9.93,,,,,,,
3688,407-25-0,DTXSID90861920,Trifluoroacetic anhydride,,,,,,,,1,6.45E+00,13.94,13.94,4.88E-03,1.85E+00,16.63
3689,4075-81-4,DTXSID1027556,Calcium propionate,6,6.98E+02,4.29,7.97,2.54E+00,2.00E+02,9.93,12,6.35E+01,2.04,11.77,5.39E-01,1.82E+01,14.20
3690,4080-31-3,DTXSID5024760,N-(3-Chloroallyl)hexaminium chloride,,,,,,,,2,2.26E+00,7.72,11.77,1.92E-03,6.48E-01,14.20
3691,4083-64-1,DTXSID1027558,p-Toluenesulphonyl isocyanate,1,5.07E+01,17.22,17.22,3.31E-02,1.45E+01,20.29,,,,,,,
3692,40843-25-2,DTXSID5041859,Diclofop,,,,,,,,1,1.30E+00,13.94,13.94,9.84E-04,3.73E-01,16.63
3693,409-02-9,DTXSID9027152,Methyl heptenone,3,1.33E+01,6.93,7.97,1.45E-02,3.80E+00,9.93,2,5.76E+01,7.08,11.77,4.89E-02,1.65E+01,14.20
3694,4090-51-1,DTXSID4063290,"1,3,2-Dioxaphosphorinane, 2,2'-oxybis[5,5-dimethyl-, 2,2'-disulfide",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,2,2.58E+02,5.74,11.77,2.19E-01,7.39E+01,14.20
3695,41026-17-9,DTXSID90961393,"4,4-Dimethyl-4,5,7a,8,11,11a-hexahydro-3H-2,6-benzodioxonine-1,7-dione",3,1.41E+02,6.82,7.97,1.54E-01,4.04E+01,9.93,,,,,,,
3696,41083-11-8,DTXSID2058091,Azocyclotin,,,,,,,,1,8.67E-01,13.94,13.94,6.56E-04,2.48E-01,16.63
3697,41093-60-1,DTXSID50961435,13-[(2-O-Hexopyranosylhexopyranosyl)oxy]kaur-16-en-18-oic acid,1,1.82E+02,17.22,17.22,1.19E-01,5.21E+01,20.29,,,,,,,
3698,41098-56-0,DTXSID3041249,"1,4-Benzenedisulfonic acid, 2,2'-[1,2-ethenediylbis[(3-sulfo-4,1-phenylene)imino[6-(diethylamino)-1,3,5-triazine-4,2-diyl]imino]]bis-, hexasodium salt",17,2.19E+01,2.35,7.97,2.39E-01,6.28E+00,9.93,27,1.71E+02,1.62,11.77,1.45E+00,4.89E+01,14.20
3699,4109-96-0,DTXSID1052082,Dichlorosilane,,,,,,,,6,2.15E+02,3.64,11.77,6.07E-01,6.15E+01,14.20
3700,41198-08-7,DTXSID3032464,Profenofos,17,4.55E-02,2.64,7.97,4.97E-04,1.30E-02,9.93,24,3.81E+00,1.86,11.77,3.23E-02,1.09E+00,14.20
3701,41206-16-0,DTXSID7052864,2-Hydroxypropyl methanethiolsulfonate,,,,,,,,4,4.58E+00,4.39,11.77,1.29E-02,1.31E+00,14.20
3702,41263-94-9,DTXSID40194179,2'-Fucosyllactose,1,3.12E+02,17.22,17.22,2.04E-01,8.94E+01,20.29,,,,,,,
3703,41272-40-6,DTXSID9068295,"C.I. Solvent Green 1, acetate salt",1,1.43E+02,17.22,17.22,9.37E-02,4.11E+01,20.29,5,1.33E+01,3.84,11.77,3.75E-02,3.80E+00,14.20
3704,4130-08-9,DTXSID1044938,Ethenylsilanetriyl triacetate,,,,,,,,12,3.07E+00,4.36,11.77,2.61E-02,8.81E-01,14.20
3705,41317-15-1,DTXSID3029364,4-Methoxy-2-methyl-N-phenylaniline,,,,,,,,3,5.98E+01,4.85,11.77,5.07E-02,1.71E+01,14.20
3706,4131-74-2,DTXSID0027561,"Dimethyl 3,3'-thiodipropionate",,,,,,,,1,9.02E+01,13.94,13.94,6.83E-02,2.59E+01,16.63
3707,4133-34-0,DTXSID00194296,"7-Methoxy-1,2,3,4-tetrahydronaphthalen-2-one",,,,,,,,2,1.55E+02,6.60,11.77,1.31E-01,4.43E+01,14.20
3708,41372-08-1,DTXSID5020863,Methyldopa sesquihydrate,8,3.78E+01,3.70,7.97,1.37E-01,1.08E+01,9.93,,,,,,,
3709,41394-05-2,DTXSID7047568,Metamitron,4,3.73E+00,4.61,7.97,1.36E-02,1.07E+00,9.93,1,3.65E+00,13.94,13.94,2.76E-03,1.04E+00,16.63
3710,41395-83-9,DTXSID3047182,Propylene glycol dipelargonate,,,,,,,,8,3.98E+02,3.40,11.77,1.13E+00,1.14E+02,14.20
3711,41438-38-4,DTXSID00961682,"Diethyl pyridine-2,4-dicarboxylate",,,,,,,,3,1.79E+02,4.99,11.77,1.52E-01,5.12E+01,14.20
3712,41483-43-6,DTXSID6041688,Bupirimate,2,6.52E+00,7.50,7.97,7.11E-03,1.87E+00,9.93,,,,,,,
3713,41484-35-9,DTXSID7028011,"Thioethylene glycol bis(3,5-di-tert-butyl-4-hydroxyhydrocinnamate)",4,6.49E+00,6.28,7.97,2.36E-02,1.86E+00,9.93,5,9.18E+01,3.72,11.77,2.59E-01,2.63E+01,14.20
3714,4151-50-2,DTXSID1032646,N-Ethylperfluorooctanesulfonamide,7,6.89E-01,4.25,7.97,2.51E-03,1.98E-01,9.93,10,2.03E-01,2.40,11.77,1.72E-03,5.82E-02,14.20
3715,4156-21-2,DTXSID4063325,"Benzenesulfonic acid, 4-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-, monosodium salt",1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,8,1.45E+02,3.66,11.77,4.10E-01,4.15E+01,14.20
3716,41583-09-9,DTXSID9068328,"1,3,5-Triazine-2,4,6-triamine, phosphate",,,,,,,,3,3.75E+01,7.79,11.77,3.18E-02,1.07E+01,14.20
3717,41591-87-1,DTXSID8041290,"1-Tetradecanaminium, N,N-dimethyl-N-[3-(trimethoxysilyl)propyl]-, chloride",,,,,,,,2,4.51E+01,7.05,11.77,3.82E-02,1.29E+01,14.20
3718,41611-76-1,DTXSID6074623,"9,10-Anthracenedione, 1,4-bis[(2-ethyl-6-methylphenyl)amino]-",,,,,,,,2,1.49E+02,6.72,11.77,1.26E-01,4.26E+01,14.20
3719,41643-35-0,DTXSID60194459,"(R)-N,N-Diethyl-2-(1-naphthyloxy)propionamide",3,1.75E+01,5.42,7.97,1.91E-02,5.02E+00,9.93,2,2.09E+01,6.65,11.77,1.78E-02,6.00E+00,14.20
3720,41663-84-7,DTXSID7028013,N-Methyl-4-nitrophthalimide,6,7.20E-01,4.54,7.97,2.62E-03,2.06E-01,9.93,12,4.67E+00,2.07,11.77,3.96E-02,1.34E+00,14.20
3721,41669-30-1,DTXSID3068338,Isostearyl isostearate,2,1.91E+02,8.47,8.47,2.01E-01,5.48E+01,10.50,2,1.41E+02,7.42,11.77,1.20E-01,4.05E+01,14.20
3722,41672-81-5,DTXSID60885734,"L-Proline, 1-(1-oxohexadecyl)-4-[(1-oxohexadecyl)oxy]-, (4R)-",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,5,2.58E+02,3.96,11.77,7.29E-01,7.39E+01,14.20
3723,4170-30-3,DTXSID8024864,Crotonaldehyde,20,1.85E+00,2.07,7.97,2.02E-02,5.29E-01,9.93,2,2.58E+00,6.11,11.77,2.19E-03,7.39E-01,14.20
3724,41741-86-0,DTXSID90894016,C.I. ACID YELLOW 129,,,,,,,,2,2.58E+02,6.34,11.77,2.19E-01,7.39E+01,14.20
3725,4179-38-8,DTXSID80194613,2-Octylfuran,1,2.00E+00,17.22,17.22,1.31E-03,5.72E-01,20.29,,,,,,,
3726,4180-23-8,DTXSID9020087,(E)-Anethole,9,8.62E+01,3.49,7.97,3.14E-01,2.47E+01,9.93,4,2.73E+01,4.35,11.77,7.71E-02,7.81E+00,14.20
3727,41814-78-2,DTXSID7037478,"2,7,8,9-Tricyclazole",1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,,,,,,,
3728,4191-73-5,DTXSID3052858,Isopropylparaben,,,,,,,,4,4.90E+01,4.30,11.77,1.38E-01,1.40E+01,14.20
3729,4193-55-9,DTXSID9044669,"C.I. Fluorescent Brightener 28, disodium salt",21,8.48E+01,1.91,7.97,9.25E-01,2.43E+01,9.93,55,1.38E+02,1.40,11.77,1.17E+00,3.95E+01,14.20
3730,4196-89-8,DTXSID1038822,Neopentyl glycol dibenzoate,,,,,,,,2,2.58E+02,6.00,11.77,2.19E-01,7.39E+01,14.20
3731,41999-70-6,DTXSID1074913,"Ethanol, 2-[(3-aminopropyl)methylamino]-",,,,,,,,3,1.16E+02,5.38,11.77,9.84E-02,3.32E+01,14.20
3732,420-04-2,DTXSID9034490,Cyanamide,34,8.03E-01,1.62,7.97,8.77E-03,2.30E-01,9.93,45,1.10E+00,1.48,11.77,9.30E-03,3.14E-01,14.20
3733,42019-78-3,DTXSID4047961,4-Hydroxy-4'-chlorobenzophenone,2,4.96E+01,9.52,9.52,4.84E-02,1.42E+01,11.67,1,1.59E+01,13.94,13.94,1.20E-02,4.56E+00,16.63
3734,4203-89-8,DTXSID1063352,2-(1-Oxa-4-azaspiro[4.5]dec-4-yl)ethyl methacrylate,,,,,,,,4,3.87E+01,4.35,11.77,1.09E-01,1.11E+01,14.20
3735,4216-02-8,DTXSID5063360,Algol Bordeaux RR,,,,,,,,2,2.58E+02,6.90,11.77,2.19E-01,7.39E+01,14.20
3736,4221-80-1,DTXSID5063364,"Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 2,4-bis(1,1-dimethylethyl)phenyl ester",3,3.54E+02,6.39,7.97,3.86E-01,1.01E+02,9.93,3,6.38E+02,5.14,11.77,5.41E-01,1.83E+02,14.20
3737,4221-98-1,DTXSID3047053,(R)-alpha-Phellandrene,,,,,,,,3,2.68E+01,4.69,11.77,2.27E-02,7.68E+00,14.20
3738,42220-47-3,DTXSID8029365,"Phosphonic acid, (1-hydroxyethylidene)bis-, compd. with 2-aminoethanol",,,,,,,,3,8.82E+01,5.32,11.77,7.48E-02,2.53E+01,14.20
3739,42222-50-4,DTXSID2028014,"9-Octadecenoic acid (9Z)-, 2,2-dimethyl-1,3-propanediyl ester",4,2.10E+02,5.22,7.97,7.63E-01,6.01E+01,9.93,,,,,,,
3740,422278-61-3,NODTXSID_422278-61-3,"N,N-bis(2-hydroxypropyl)benzamide",,,,,,,,2,2.58E+02,6.32,11.77,2.19E-01,7.39E+01,14.20
3741,4223-03-4,DTXSID5027564,N-tert-Octylacrylamide,5,1.16E+01,5.12,7.97,4.21E-02,3.31E+00,9.93,8,3.52E+01,3.29,11.77,9.95E-02,1.01E+01,14.20
3742,42233-75-0,DTXSID90195070,Didocosyl sebacate,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,2,2.58E+02,5.77,11.77,2.19E-01,7.39E+01,14.20
3743,422556-08-9,DTXSID7044344,Pyroxsulam,5,3.44E+01,3.96,7.97,1.25E-01,9.87E+00,9.93,2,1.49E+02,7.14,11.77,1.26E-01,4.26E+01,14.20
3744,42278-27-3,NODTXSID_42278-27-3,"1-Propene, 2-methyl-, pentamer",13,4.17E+01,2.37,7.97,4.55E-01,1.19E+01,9.93,18,3.61E+02,1.78,11.77,3.06E+00,1.03E+02,14.20
3745,4234-79-1,DTXSID7058098,Kelevan,6,2.27E+01,3.46,7.97,8.26E-02,6.50E+00,9.93,,,,,,,
3746,423772-95-6,NODTXSID_423772-95-6,unnamed [423772-95-6],2,8.11E+00,13.28,13.28,6.34E-03,2.32E+00,15.90,,,,,,,
3747,42405-40-3,DTXSID30894010,"Zinc 3,5-di(tert-butyl)salicylate",1,1.84E+01,17.22,17.22,1.20E-02,5.26E+00,20.29,,,,,,,
3748,42422-68-4,DTXSID3022532,beta-Zearalanol,,,,,,,,1,9.60E-03,13.94,13.94,7.26E-06,2.75E-03,16.63
3749,4246-51-9,DTXSID6044565,"3,3'-[Oxybis(ethane-2,1-diyloxy)]dipropan-1-amine",,,,,,,,9,7.53E+01,3.51,11.77,2.13E-01,2.16E+01,14.20
3750,42487-72-9,DTXSID90195272,2-(Diethylamino)-6-methyl-1H-pyrimidin-4-one,1,7.65E+01,17.22,17.22,5.00E-02,2.19E+01,20.29,,,,,,,
3751,42509-62-6,DTXSID2052863,1-Isopropylchlorohydroxytriazole,2,3.34E+01,9.62,9.62,3.24E-02,9.58E+00,11.78,,,,,,,
3752,42509-80-8,DTXSID7034676,Isazofos,14,6.97E-01,2.61,7.97,7.61E-03,2.00E-01,9.93,,,,,,,
3753,4253-34-3,DTXSID0027565,Methylsilanetriyl triacetate,5,1.07E+00,4.35,7.97,3.88E-03,3.06E-01,9.93,10,1.19E+02,2.51,11.77,1.01E+00,3.42E+01,14.20
3754,42576-02-3,DTXSID1040320,Bifenox,9,2.46E+00,3.13,7.97,8.95E-03,7.05E-01,9.93,2,1.33E+01,6.06,11.77,1.12E-02,3.80E+00,14.20
3755,4259-15-8,DTXSID5027566,"Zinc, bis[O,O-bis(2-ethylhexyl) phosphorodithioato-.kappa.S,.kappa.S']-, (T-4)-",3,7.59E+00,7.00,7.97,8.28E-03,2.17E+00,9.93,9,6.85E+00,3.15,11.77,1.94E-02,1.96E+00,14.20
3756,42594-17-2,DTXSID5044940,Tricyclodecanedimethanol diacrylate,2,1.91E+02,9.38,9.38,1.88E-01,5.48E+01,11.52,4,2.58E+02,4.26,11.77,7.29E-01,7.39E+01,14.20
